


Fac: 	1	UTC: 	12345	T: 	19.00	P: 	1001.34	H: 	43.50	A: 	0	F: 	0
Fac: 	2	UTC: 	12352	T: 	26.00	P: 	1008.34	H: 	50.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12355	T: 	29.00	P: 	1011.34	H: 	53.50	A: 	0	F: 	0
Fac: 	2	UTC: 	12353	T: 	27.00	P: 	1009.34	H: 	51.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12356	T: 	30.00	P: 	1012.34	H: 	54.50	A: 	0	F: 	0
Fac: 	2	UTC: 	12354	T: 	28.00	P: 	1010.34	H: 	52.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12357	T: 	31.00	P: 	1013.34	H: 	55.50	A: 	0	F: 	0
Fac: 	2	UTC: 	12355	T: 	29.00	P: 	1011.34	H: 	53.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12358	T: 	32.00	P: 	1014.34	H: 	56.50	A: 	0	F: 	0
Fac: 	2	UTC: 	12356	T: 	30.00	P: 	1012.34	H: 	54.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12359	T: 	33.00	P: 	1015.34	H: 	57.50	A: 	0	F: 	0
Fac: 	2	UTC: 	12357	T: 	31.00	P: 	1013.34	H: 	55.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12360	T: 	34.00	P: 	1016.34	H: 	58.50	A: 	0	F: 	0
Fac: 	2	UTC: 	12358	T: 	32.00	P: 	1014.34	H: 	56.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12361	T: 	35.00	P: 	1017.34	H: 	59.50	A: 	0	F: 	0
Fac: 	2	UTC: 	12359	T: 	33.00	P: 	1015.34	H: 	57.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12362	T: 	36.00	P: 	1018.34	H: 	60.50	A: 	0	F: 	0
Fac: 	2	UTC: 	12360	T: 	34.00	P: 	1016.34	H: 	58.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12363	T: 	37.00	P: 	1019.34	H: 	61.50	A: 	0	F: 	0
Fac: 	2	UTC: 	12361	T: 	35.00	P: 	1017.34	H: 	59.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12364	T: 	38.00	P: 	1020.34	H: 	62.50	A: 	0	F: 	0
Fac: 	2	UTC: 	12362	T: 	36.00	P: 	1018.34	H: 	60.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12365	T: 	39.00	P: 	1021.34	H: 	63.50	A: 	0	F: 	0
Fac: 	2	UTC: 	12363	T: 	37.00	P: 	1019.34	H: 	61.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12366	T: 	40.00	P: 	1022.34	H: 	64.50	A: 	0	F: 	0
Fac: 	2	UTC: 	12364	T: 	38.00	P: 	1020.34	H: 	62.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12367	T: 	41.00	P: 	1023.34	H: 	65.50	A: 	0	F: 	0
Fac: 	2	UTC: 	12365	T: 	39.00	P: 	1021.34	H: 	63.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12368	T: 	42.00	P: 	1024.34	H: 	66.50	A: 	0	F: 	0
Fac: 	2	UTC: 	12366	T: 	40.00	P: 	1022.34	H: 	64.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12369	T: 	43.00	P: 	1025.34	H: 	67.50	A: 	0	F: 	0
Fac: 	2	UTC: 	12367	T: 	41.00	P: 	1023.34	H: 	65.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12370	T: 	44.00	P: 	1026.34	H: 	68.50	A: 	0	F: 	0
Fac: 	2	UTC: 	12368	T: 	42.00	P: 	1024.34	H: 	66.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12371	T: 	45.00	P: 	1027.34	H: 	69.50	A: 	0	F: 	0
Fac: 	2	UTC: 	12369	T: 	43.00	P: 	1025.34	H: 	67.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12372	T: 	46.00	P: 	1028.34	H: 	70.50	A: 	0	F: 	0
Fac: 	2	UTC: 	12370	T: 	44.00	P: 	1026.34	H: 	68.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12373	T: 	47.00	P: 	1029.34	H: 	71.50	A: 	0	F: 	0
Fac: 	2	UTC: 	12371	T: 	45.00	P: 	1027.34	H: 	69.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12374	T: 	48.00	P: 	1030.34	H: 	72.50	A: 	0	F: 	0
Fac: 	2	UTC: 	12372	T: 	46.00	P: 	1028.34	H: 	70.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12375	T: 	49.00	P: 	1031.34	H: 	73.50	A: 	0	F: 	0
Fac: 	2	UTC: 	12373	T: 	47.00	P: 	1029.34	H: 	71.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12376	T: 	50.00	P: 	1032.34	H: 	74.50	A: 	0	F: 	0
Fac: 	2	UTC: 	12374	T: 	48.00	P: 	1030.34	H: 	72.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12377	T: 	51.00	P: 	1033.34	H: 	75.50	A: 	0	F: 	0
Fac: 	2	UTC: 	12375	T: 	49.00	P: 	1031.34	H: 	73.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12378	T: 	52.00	P: 	1034.34	H: 	76.50	A: 	0	F: 	0
Fac: 	2	UTC: 	12376	T: 	50.00	P: 	1032.34	H: 	74.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12379	T: 	53.00	P: 	1035.34	H: 	77.50	A: 	0	F: 	0
Fac: 	2	UTC: 	12377	T: 	51.00	P: 	1033.34	H: 	75.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12380	T: 	54.00	P: 	1036.34	H: 	78.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12381	T: 	55.00	P: 	1037.34	H: 	79.50	A: 	0	F: 	0
Fac: 	1	UTC: 	12382	T: 	56.00	P: 	1038.34	H: 	80.50	A: 	0	F: 	0
